"Specieslist","Similarity"
"Ocinebrina aciculata","100"
"Octobranchus lingulatus","100"
"Oerstedia dorsalis","100"
"Oithona similis","100"
"Omalosecosa ramulosa","99.35"
"Onchidoris bilamellata","100"
"Onchidoris muricata","100"
"Onoba semicostata","99.68"
"Opercularella lacerata","100"
"Ophiocomina nigra","100"
"Ophiopholis aculeata","100"
"Ophiothrix fragilis","100"
"Ophiura grubei","100"
"Ophlitaspongia papilla","100"
"Ophryotrocha hartmanni","100"
"Ophryotrocha puerilis","98.28"
"Orchomene humilis","100"
"Oscarella balibaloi","98.06"
"Oscarella viridis","98.38"
"Oxydromus pallidus","100"
"Palaemon elegans","100"
"Pandalina brevirostris","100"
"Paracalanus parvus","100"
"Paracaprella pusilla","100"
"Paracentrotus lividus","99.68"
"Parachironomus gracilior","99.67"
"Paradoneis lyra","100"
"Parajassa pelagica","99.44"
"Paranais litoralis","99.68"
"Patella aspera","100"
"Pectinaria koreni","100"
"Pedicellina cernua","98.3"
"Penilia avirostris","100"
"Perforatus perforatus","100"
"Peringia ulvae","100"
"Perophora japonica","100"
"Phallusia mammilata","100"
"Phallusia mammillata","100"
"Phialella quadrata","100"
"Philactinoposthia ischiae","97.73"
"Philine aperta","99.68"
"Pholoe inornata","100"
"Phoronis muelleri","100"
"Phtisica marina","100"
"Phyllodoce laminosa","98.71"
"Pilumnus hirtellus","100"
"Pisidia longicornis","100"
"Pista cristata","100"
"Platynereis dumerilii","100"
"Pleopis polyphemoides","100"
"Pleurobranchus membranaceus","100"
"Plumularia setacea","100"
"Polititapes aureus","100"
"Polycera capitata","100"
"Polycera quadrilineata","100"
"Polycirrus norvegicus","100"
"Polydora cornuta","100"
"Polygordius appendiculatus","99.65"
"Pomatoceros triqueter","100"
"Pomatoschistus microps","100"
"Praunus inermis","97.41"
"Protodrilus ciliatus","100"
"Psamathe fusca","100"
"Psammechinus miliaris","100"
"Pseudocalanus acuspes","100"
"Pseudocalanus elongatus","100"
"Pseudopotamilla reniformis","100"
"Psylla buxi","100"
"Pterocirrus macroceros","99.35"
"Pusillina inconspicua","100"
"Pusillina sarsii","99.67"
"Radix balthica","99.68"
"Raphitoma concinna","100"
"Raspailia ramosa","100"
"Rhabdodemania major","97.41"
"Rhachotropis inflata","98.69"
"Rhizothrix curvata","100"
"Rhizothrix minuta","99.68"
"Rhyssoplax olivacea","100"
"Rissoa lilacina","100"
"Rissoa parva","100"
"Ruditapes decussatus","100"
"Sabellaria spinulosa","100"
"Sagartia troglodytes","100"
"Sarcophaga crassipalpis","100"
"Sarsia lovenii","100"
"Sarsia tubulosa","100"
"Schistomysis kervillei","99.68"
"Schizoporella japonica","100"
"Scopalina ceutensis","98.06"
"Scruparia ambigua","98.95"
"Scrupocellaria scruposa","100"
"Scyliorhinus canicula","100"
"Sirsoe methanicola","100"
"Sparus aurata","100"
"Spatangus purpureus","100"
"Spio decorata","99.03"
"Spio symphyta","98.38"
"Spiralinella spiralis","100"
"Spirontocaris phippsi","100"
"Spisula subtruncata","100"
"Sprattus sprattus","100"
"Squalus acanthias","100"
"Squalus blainville","100"
"Stenothoe monoculoides","100"
"Steromphala cineraria","100"
"Sthenelais boa","100"
"Stomphia coccinea","100"
"Streblospio benedicti","100"
"Streptosyllis websteri","100"
"Strongylacidon bermudae","98.38"
"Strongylocentrotus droebachiensis","100"
"Subadyte pellucida","100"
"Syllidia armata","100"
"Syllis armillaris","100"
"Tachidiella minuta","100"
"Tachidius discipes","99.03"
"Tanytarsus usmaensis","100"
"Telmatogeton japonicus","100"
"Temora longicornis","100"
"Terebella lapidaria","100"
"Terebellides stroemii","98.06"
"Tergipes tergipes","98.71"
"Tetrastemma flavidum","100"
"Tetrastemma robertianae","100"
"Thalestris longimana","99.68"
"Thoralus cranchii","98.06"
"Torquigener flavimaculosus","99.68"
"Tricellaria inopinata","100"
"Tricellaria ternata","99.68"
"Tricolia pullus","99.68"
"Trinchesia foliata","100"
"Trisopterus minutus","100"
"Tubularia indivisa","100"
"Verruca stroemia","100"
"Watersipora subtorquata","100"
"Zygomolgus dentatus","97.41"
